servicerequestnum,code,codeDescription,address,city,state,zip,createdDate,dueDate,statusDate,status,activity,outcome,updatedDate
13-00364688,RATRUBPR,SW-Rat Rubout - Proactive,2104  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364686,RATRUBPR,SW-Rat Rubout - Proactive,2102  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364666,RATRUBPR,SW-Rat Rubout - Proactive,1819 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364606,RATRUBPR,SW-Rat Rubout - Proactive,1817 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364595,RATRUBPR,SW-Rat Rubout - Proactive,1815 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364587,RATRUBPR,SW-Rat Rubout - Proactive,1813 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364284,RATRUBPR,SW-Rat Rubout - Proactive,3922  EDMONDSON AVE ,BALTIMORE CITY,MD,21229,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,Active Rodent Sign,05/16/2013
13-00364317,RATRUBPR,SW-Rat Rubout - Proactive,1032  EDMONDSON AVE ,BALTIMORE CITY,MD,21223,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364571,RATRUBPR,SW-Rat Rubout - Proactive,1805 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364579,RATRUBPR,SW-Rat Rubout - Proactive,1811 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364682,RATRUBPR,SW-Rat Rubout - Proactive,2100  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364686,RATRUBPR,SW-Rat Rubout - Proactive,2102  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364688,RATRUBPR,SW-Rat Rubout - Proactive,2104  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
